run_id,run_date,model,vignette,temperature,slice,n_trials,mode,validity_rate,jaccard_all,jaccard_valid,modal_set_agreement,bertscore_f1,bertscore_precision,bertscore_recall,alignment_mean,alignment_n_judged,alignment_n_errors,alignment_n_skipped,alignment_pro_fallback,n_confrontation,n_self_empowerment,n_safety,n_cognitive_reframe,n_social_support,n_sensory_modulation,align_confrontation,align_self_empowerment,align_safety,align_cognitive_reframe,align_social_support,align_sensory_modulation,tier
20260730_150245_mistral_large_anxious,20260730,mistral_large,anxious,0.0,,20,fused,1.0,0.8736842105263158,0.8736842105263158,0.9,0.8098286390304565,0.8103195428848267,0.8097959756851196,,0,0,0,0,0,2,0,20,18,0,,,,,,,experiment
20260730_150450_mistral_large_anxious,20260730,mistral_large,anxious,0.075,,20,fused,1.0,1.0,1.0,1.0,0.8053397536277771,0.8042240142822266,0.8068492412567139,,0,0,0,0,0,0,0,20,20,0,,,,,,,experiment
20260730_150610_mistral_large_anxious,20260730,mistral_large,anxious,0.15,,20,fused,1.0,0.8736842105263163,0.8736842105263163,0.9,0.7754290103912354,0.774365246295929,0.7767051458358765,,0,0,0,0,0,2,0,20,18,0,,,,,,,experiment
20260730_150715_mistral_large_anxious,20260730,mistral_large,anxious,0.3,,20,fused,1.0,0.7561403508771923,0.7561403508771923,0.8,0.7061180472373962,0.7088030576705933,0.703722357749939,,0,0,0,0,1,3,0,17,19,0,,,,,,,experiment
20260730_150807_mistral_large_anxious,20260730,mistral_large,anxious,0.6,,20,fused,1.0,0.7157894736842104,0.7157894736842104,0.75,0.6939135193824768,0.691138505935669,0.6970394849777222,,0,0,0,0,3,2,0,15,20,0,,,,,,,experiment
20260730_150900_mistral_large_avoidant,20260730,mistral_large,avoidant,0.0,,20,fused,1.0,0.6526315789473675,0.6526315789473675,0.55,0.6964959502220154,0.6949388980865479,0.6983599066734314,,0,0,0,0,11,0,0,9,20,0,,,,,,,experiment
20260730_150959_mistral_large_avoidant,20260730,mistral_large,avoidant,0.075,,20,fused,1.0,0.8701754385964913,0.8701754385964913,0.9,0.8156802654266357,0.8185175657272339,0.8131762146949768,,0,0,0,0,18,1,0,1,20,0,,,,,,,experiment
20260730_151043_mistral_large_avoidant,20260730,mistral_large,avoidant,0.15,,20,fused,1.0,0.8701754385964918,0.8701754385964918,0.9,0.757276177406311,0.7556018829345703,0.7596789002418518,,0,0,0,0,18,1,0,1,20,0,,,,,,,experiment
20260730_151130_mistral_large_avoidant,20260730,mistral_large,avoidant,0.3,,20,fused,1.0,0.8210526315789473,0.8210526315789473,0.85,0.7276408672332764,0.7305977940559387,0.72519451379776,,0,0,0,0,17,0,0,3,20,0,,,,,,,experiment
20260730_151330_mistral_large_avoidant,20260730,mistral_large,avoidant,0.6,,20,fused,1.0,0.7578947368421041,0.7578947368421041,0.8,0.7002202272415161,0.6946337819099426,0.7062963247299194,,0,0,0,0,16,1,1,2,20,0,,,,,,,experiment
